epoch,C50_val_loss,C50_val_loss_min,C50_val_loss_max,C100_val_loss,C100_val_loss_min,C100_val_loss_max,C150_val_loss,C150_val_loss_min,C150_val_loss_max,C200_val_loss,C200_val_loss_min,C200_val_loss_max
171,,,,,,,,,,0.87598,0.8716,0.8789
172,,,,,,,,,,0.87456,0.8678,0.8771
173,,,,,,,,,,0.87642,0.8723,0.8798
174,,,,,,,,,,0.87548,0.8701,0.8785
175,,,,,,,,,,0.87664,0.8713,0.8793
176,,,,,,,,,,0.87648,0.8709,0.8795
177,,,,,,,,,,0.8755,0.8692,0.8784
178,,,,,,,,,,0.87626,0.873,0.878
179,,,,,,,,,,0.87744,0.8739,0.8798
180,,,,,,,,,,0.87616,0.8701,0.8789
181,,,,,,,,,,0.87574,0.8703,0.8782
182,,,,,,,,,,0.87632,0.871,0.8788
183,,,,,,,,,,0.87712,0.8732,0.8791
184,,,,,,,,,,0.8767,0.8736,0.8794
185,,,,,,,,,,0.8772,0.8721,0.8793
186,,,,,,,,,,0.8767,0.8722,0.8795
187,,,,,,,,,,0.87632,0.8706,0.8791
188,,,,,,,,,,0.87614,0.8696,0.881
189,,,,,,,,,,0.87666,0.8711,0.8797
190,,,,,,,,,,0.87666,0.871,0.8809
191,,,,,,,,,,0.87682,0.872,0.8799
192,,,,,,,,,,0.8771,0.8712,0.8797
193,,,,,,,,,,0.87662,0.8691,0.8801
194,,,,,,,,,,0.8764,0.8704,0.8792
195,,,,,,,,,,0.87692,0.8721,0.8796
196,,,,,,,,,,0.87706,0.872,0.8795
197,,,,,,,,,,0.87704,0.8714,0.8798
198,,,,,,,,,,0.87712,0.8712,0.8794
199,,,,,,,,,,0.87696,0.8711,0.8795
200,,,,,,,,,,0.87702,0.8719,0.8797
